(254, 240, 228)
(255, 233, 226)
(254, 230, 224)
(255, 227, 221)
(254, 220, 214)
(255, 223, 209)
(254, 243, 212)
(229, 254, 212)
(181, 254, 208)
(170, 254, 204)
(171, 255, 204)
(194, 255, 207)
(219, 255, 215)
(242, 249, 224)
(254, 239, 229)
(255, 235, 234)
(255, 234, 231)
(255, 244, 221)
(209, 255, 208)
(172, 255, 194)
(130, 255, 187)
(124, 255, 189)
(115, 255, 191)
(139, 255, 192)
(197, 254, 192)
(255, 252, 193)
(255, 213, 182)
(255, 195, 182)
(255, 205, 196)
(255, 215, 211)
(254, 227, 216)
(255, 235, 222)
(254, 231, 218)
(255, 220, 206)
(254, 198, 189)
(255, 171, 164)
(255, 170, 149)
(255, 203, 162)
(255, 255, 179)
(179, 254, 181)
(124, 255, 181)
(78, 254, 181)
(89, 254, 180)
(95, 254, 180)
(128, 255, 184)
(184, 254, 196)
(255, 251, 216)
(254, 237, 227)
(255, 244, 226)
(229, 255, 207)
(135, 255, 190)
(114, 254, 180)
(86, 255, 173)
(81, 255, 173)
(79, 255, 173)
(121, 254, 176)
(226, 255, 178)
(255, 244, 165)
(255, 191, 141)
(255, 145, 121)
(255, 139, 127)
(255, 167, 158)
(254, 202, 188)
(255, 229, 212)
(255, 217, 202)
(255, 182, 167)
(254, 134, 123)
(255, 116, 100)
(254, 136, 99)
(254, 178, 118)
(255, 220, 144)
(255, 255, 167)
(160, 254, 170)
(92, 254, 169)
(86, 255, 173)
(82, 255, 179)
(88, 255, 184)
(133, 255, 192)
(222, 255, 203)
(255, 245, 224)
(254, 244, 220)
(206, 254, 203)
(141, 255, 196)
(110, 255, 194)
(79, 255, 188)
(100, 255, 183)
(162, 255, 171)
(255, 255, 157)
(255, 239, 138)
(255, 199, 114)
(255, 161, 97)
(255, 121, 82)
(255, 95, 80)
(255, 120, 102)
(255, 159, 145)
(255, 213, 194)
(254, 198, 180)
(255, 147, 128)
(255, 109, 87)
(255, 93, 67)
(255, 111, 63)
(255, 142, 66)
(255, 176, 81)
(255, 208, 103)
(255, 235, 130)
(255, 255, 162)
(240, 255, 186)
(138, 255, 195)
(131, 255, 195)
(164, 254, 198)
(237, 255, 201)
(255, 245, 216)
(254, 238, 211)
(255, 254, 196)
(254, 254, 191)
(255, 255, 192)
(255, 250, 188)
(254, 229, 168)
(255, 219, 136)
(255, 202, 100)
(255, 179, 74)
(255, 148, 52)
(255, 125, 38)
(255, 125, 41)
(254, 129, 50)
(255, 128, 78)
(255, 154, 118)
(255, 198, 176)
(255, 204, 179)
(255, 157, 116)
(254, 153, 72)
(254, 150, 44)
(255, 147, 28)
(254, 136, 15)
(255, 130, 24)
(255, 143, 50)
(255, 169, 79)
(255, 182, 112)
(255, 191, 140)
(255, 204, 159)
(255, 222, 164)
(255, 232, 168)
(255, 226, 174)
(255, 216, 202)
(255, 209, 200)
(255, 181, 154)
(254, 183, 133)
(255, 175, 128)
(254, 166, 121)
(255, 157, 107)
(255, 149, 83)
(255, 129, 56)
(254, 123, 29)
(255, 136, 15)
(254, 143, 14)
(255, 150, 8)
(255, 159, 31)
(255, 160, 65)
(255, 180, 117)
(255, 206, 181)
(255, 218, 193)
(255, 191, 128)
(254, 165, 64)
(255, 157, 28)
(254, 153, 0)
(254, 151, 0)
(254, 143, 15)
(254, 123, 26)
(255, 108, 42)
(255, 118, 63)
(255, 124, 78)
(255, 130, 91)
(254, 137, 103)
(255, 144, 119)
(255, 163, 158)
(255, 202, 203)
(254, 207, 211)
(255, 171, 174)
(255, 136, 134)
(255, 114, 102)
(255, 103, 80)
(255, 98, 67)
(254, 89, 54)
(255, 94, 42)
(255, 129, 35)
(255, 149, 36)
(255, 153, 21)
(255, 158, 21)
(255, 160, 40)
(255, 167, 75)
(254, 193, 144)
(255, 223, 199)
(254, 232, 210)
(254, 213, 178)
(255, 177, 113)
(255, 165, 73)
(255, 163, 44)
(255, 157, 47)
(254, 148, 48)
